img,ratio
10134.jpg,0.09191176470588236
10135.jpg,0.12254901960784313
10136.jpg,0.24509803921568626
10137.jpg,0.3492433061699651
10138.jpg,0.08680555555555555
10139.jpg,0.08680555555555555
1014.jpg,0.1697792869269949
10140.jpg,0.3125
10141.jpg,0.08680555555555555
10142.jpg,0.25929127052722556
10143.jpg,0.17055144968732233
10144.jpg,0.1720183486238532
10145.jpg,0.42857142857142855
10146.jpg,0.5
10147.jpg,0.3125
10148.jpg,0.12254901960784313
10149.jpg,0.15
1015.jpg,0.5905511811023622
10150.jpg,0.12254901960784313
10151.jpg,0.43923865300146414
10152.jpg,0.2210759027266028
10153.jpg,0.08680555555555555
10154.jpg,0.46875
10155.jpg,0.4838709677419355
10156.jpg,0.12919896640826872
10157.jpg,0.29296875
10158.jpg,0.14285714285714285
10159.jpg,0.075
1016.jpg,0.3125
10160.jpg,0.19543973941368079
10161.jpg,0.234375
10162.jpg,0.46875
10163.jpg,0.3125
10164.jpg,0.46875
10165.jpg,0.09487666034155598
10166.jpg,0.12254901960784313
10167.jpg,0.5545286506469501
10168.jpg,0.37174721189591076
10169.jpg,0.19543973941368079
1017.jpg,0.2
10170.jpg,0.46875
10171.jpg,0.13901760889712697
10172.jpg,0.09191176470588236
10173.jpg,0.46875
10174.jpg,0.14814814814814814
10175.jpg,0.43541364296081275
10176.jpg,0.09816753926701571
10177.jpg,0.12254901960784313
10178.jpg,0.5555555555555556
10179.jpg,0.3836317135549872
1018.jpg,0.49019607843137253
10180.jpg,0.46875
10181.jpg,0.6493506493506493
10182.jpg,0.12254901960784313
10183.jpg,0.14285714285714285
10184.jpg,0.32751091703056767
10185.jpg,0.16042780748663102
10186.jpg,0.5555555555555556
10187.jpg,0.46875
10188.jpg,0.29296875
10189.jpg,0.09191176470588236
1019.jpg,0.2994011976047904
10190.jpg,0.15495867768595042
10191.jpg,0.3492433061699651
10192.jpg,0.15
10193.jpg,0.11406844106463879
10194.jpg,0.2054794520547945
10195.jpg,0.2579535683576956
10196.jpg,0.10533707865168539
10197.jpg,0.25
10198.jpg,0.4166666666666667
10199.jpg,0.4166666666666667
102.jpg,0.4166666666666667
1020.jpg,0.12096774193548387
10200.jpg,0.1953125
10201.jpg,0.375
10202.jpg,0.5208333333333334
10203.jpg,0.3125
10204.jpg,0.1893939393939394
10205.jpg,0.08680555555555555
10206.jpg,0.12195121951219512
10207.jpg,0.08680555555555555
10208.jpg,0.6
10209.jpg,0.4942339373970346
